,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
105,ENSG00000204287,HLA-DRA,0.48,8e-01,-5.72,9e-16,1.15,5e-02,0.61,4e-01,-1.34,4e-01,-3.48,2e-06,0.68,1e+00,-4.35,3e-01,-0.30,9e-01
106,ENSG00000141524,TMC6,0.47,8e-01,-0.77,6e-01,-0.38,1e+00,0.50,6e-01,1.38,1e-01,-0.69,8e-01,0.11,1e+00,-2.59,5e-01,-0.70,4e-01
107,ENSG00000255112,CHMP1B,0.47,8e-01,-0.17,1e+00,1.37,8e-03,0.14,1e+00,-0.48,1e+00,-0.43,1e+00,-0.10,1e+00,-4.38,3e-01,-1.65,2e-03
108,ENSG00000145088,EAF2,0.46,8e-01,-4.01,1e-08,-0.59,1e+00,1.07,1e-02,-0.69,1e+00,-3.52,5e-06,0.18,1e+00,-4.61,3e-01,0.56,3e-01
109,ENSG00000197019,SERTAD1,0.43,8e-01,0.74,3e-01,1.44,3e-03,-0.28,1e+00,-1.31,5e-01,-0.24,1e+00,-0.64,1e+00,-4.12,3e-01,-1.63,2e-03
110,ENSG00000085224,ATRX,0.42,9e-01,-0.57,8e-01,-0.51,1e+00,0.34,8e-01,1.33,1e-01,0.08,1e+00,-0.65,1e+00,-2.49,5e-01,-0.37,8e-01
111,ENSG00000153234,NR4A2,0.42,9e-01,0.70,4e-01,1.26,2e-02,-0.74,3e-01,0.47,7e-01,0.32,9e-01,-0.39,1e+00,-3.90,3e-01,-2.24,7e-06
112,ENSG00000167522,ANKRD11,0.41,9e-01,0.11,1e+00,0.07,1e+00,-0.33,1e+00,1.56,8e-02,0.34,9e-01,-0.81,1e+00,-3.03,4e-01,-0.61,5e-01
113,ENSG00000114857,NKTR,0.41,9e-01,-0.40,1e+00,-1.08,5e-01,0.21,1e+00,1.82,3e-02,-0.44,1e+00,-0.25,1e+00,-4.47,3e-01,-0.29,9e-01
114,ENSG00000127914,AKAP9,0.41,9e-01,-0.36,1e+00,-0.09,1e+00,0.03,1e+00,1.42,1e-01,0.12,1e+00,-0.47,1e+00,-2.46,5e-01,-0.48,7e-01
115,ENSG00000008952,SEC62,0.40,9e-01,-1.18,2e-01,-0.40,1e+00,0.90,5e-02,-0.29,1e+00,-1.13,3e-01,0.19,1e+00,-2.86,4e-01,-0.09,1e+00
116,ENSG00000149311,ATM,0.40,9e-01,0.42,7e-01,-0.58,1e+00,0.09,1e+00,1.84,3e-02,-0.47,1e+00,-0.39,1e+00,-4.12,3e-01,-1.07,7e-02
117,ENSG00000130844,ZNF331,0.39,9e-01,0.69,3e-01,1.47,3e-03,-0.77,3e-01,-0.11,1e+00,0.41,8e-01,-0.55,1e+00,-5.63,3e-01,-2.15,2e-05
118,ENSG00000010244,ZNF207,0.37,9e-01,-0.92,4e-01,-0.42,1e+00,-0.00,1e+00,1.43,1e-01,-0.29,1e+00,-0.11,1e+00,-3.18,3e-01,0.18,9e-01
119,ENSG00000237541,HLA-DQA2,0.36,1e+00,-4.41,1e-10,1.12,7e-02,0.41,8e-01,-1.60,4e-01,-3.20,1e-05,0.72,1e+00,-4.27,3e-01,0.12,1e+00
120,ENSG00000188994,ZNF292,0.36,9e-01,-0.68,7e-01,-0.74,9e-01,0.31,9e-01,1.53,8e-02,-0.33,1e+00,-0.21,1e+00,-2.50,5e-01,-0.18,1e+00
121,ENSG00000102760,RGCC,0.34,9e-01,1.09,4e-02,-1.41,2e-01,0.15,1e+00,-1.09,7e-01,0.45,7e-01,-0.32,1e+00,-5.20,3e-01,-0.56,5e-01
122,ENSG00000116539,ASH1L,0.33,1e+00,-0.17,1e+00,-0.69,9e-01,0.19,1e+00,1.95,2e-02,-0.14,1e+00,-0.24,1e+00,-2.62,5e-01,-0.93,1e-01
123,ENSG00000198786,MT-ND5,0.33,1e+00,-0.79,4e-01,-0.37,1e+00,-0.54,6e-01,1.24,2e-01,-0.84,5e-01,-0.10,1e+00,2.50,1e-02,-0.37,8e-01
124,ENSG00000116752,BCAS2,0.32,1e+00,0.27,9e-01,1.24,2e-02,-0.18,1e+00,-1.47,5e-01,-0.19,1e+00,-0.17,1e+00,-4.98,3e-01,-0.74,3e-01
125,ENSG00000120129,DUSP1,0.32,1e+00,0.43,7e-01,1.11,7e-02,-0.08,1e+00,-0.45,1e+00,-0.10,1e+00,-0.44,1e+00,-3.29,3e-01,-1.12,4e-02
126,ENSG00000212907,MT-ND4L,0.30,1e+00,-0.22,1e+00,0.04,1e+00,-0.51,7e-01,1.33,1e-01,-0.77,7e-01,-0.20,1e+00,2.29,7e-02,-0.93,1e-01
127,ENSG00000113580,NR3C1,0.28,1e+00,-1.04,3e-01,-0.82,8e-01,0.43,7e-01,0.18,1e+00,1.14,4e-02,-0.08,1e+00,-4.10,3e-01,-0.61,5e-01
128,ENSG00000105939,ZC3HAV1,0.26,1e+00,1.15,2e-02,0.48,9e-01,-0.42,9e-01,0.34,8e-01,0.27,1e+00,-0.74,1e+00,-3.68,3e-01,-1.19,4e-02
